Year,Make,Model,Car Name,Wheel Drive,Colour,Odometer,Inv,VIN,Retail,Price
2015,Hyundai,Tucson GL FWD,Hyundai Tucson,FWD,BLACK,97837,I,KM8JT3AF1FU049799,AUTO,13900
2015,Jeep,Cherokee Sport FWD,Jeep Cherokee,FWD,Red,64817,I,1C4PJLAB0FW760058,AUTO,16300
2015,Jeep,Cherokee Limited FWD,Jeep Cherokee,FWD,Grey,57704,I,1C4PJLDB4FW578990,AUTO,19700
2015,Jeep,Grand Cherokee Limited 4WD,Jeep Grand,4WD,GREY,73480,I,1C4RJFBG0FC699686,AUTO,25995
2015,Jeep,Renegade Sport 4WD,Jeep Renegade,4WD,Black,80096,I,ZACCJBAT6FPC23631,AUTO,17500
2015,Jeep,Renegade Sport FWD,Jeep Renegade,FWD,Yellow,51414,I,ZACCJAAT4FPC27588,AUTO,16900
2015,Kia,Optima LX FWD,Kia Optima,FWD,WHITE,53814,I,KNAGM4A73F5657230,AUTO,14300
2015,Kia,Sorento EX w/Snrf AWD,Kia Sorento,AWD,GREY,58854,I,5XYKUDA76FG585380,AUTO,19600
2015,Lincoln,MKC  AWD,Lincoln MKC,AWD,Black,121090,I,5LMCJ2A91FUJ02193,AUTO,16700
2015,Lincoln,MKC  AWD,Lincoln MKC,AWD,SILVER,80349,I,5LMCJ2A98FUJ02210,AUTO,19700
2015,MINI,Cooper Countryman S AWD,MINI Cooper,AWD,White,117874,I,WMWZC5C50FWT38083,MAN,13400
2015,Nissan,Altima 2.5 SL FWD,Nissan Altima,FWD,White,62758,I,1N4AL3AP5FN373898,AUTO,14995
2015,Nissan,Micra SR FWD,Nissan Micra,FWD,White,22571,I,3N1CK3CP7FL255132,AUTO,11995
2015,Nissan,Micra S FWD,Nissan Micra,FWD,Blue,28629,I,3N1CK3CP4FL256996,AUTO,13500
2015,Nissan,Sentra SV FWD,Nissan Sentra,FWD,White,49821,I,3N1AB7AP3FL682230,AUTO,13500
2015,Nissan,Sentra SV FWD,Nissan Sentra,FWD,BLUE,38299,I,3N1AB7AP5FL651349,AUTO,12900
2015,Nissan,Versa Note SR FWD,Nissan Versa,FWD,BLUE,86825,I,3N1CE2CP8FL372042,AUTO,12400
2015,Toyota,RAV4 LE AWD,Toyota RAV4,AWD,GREY,78994,I,2T3BFREV3FW308025,AUTO,17995
2015,Toyota,RAV4 LE AWD,Toyota RAV4,AWD,GREY,57939,I,2T3BFREV3FW356883,AUTO,18700
2015,Volkswagen,CC Sportline FWD,Volkswagen CC,FWD,White,57910,I,WVWBN7ANXFE829621,AUTO,16700
2015,Volkswagen,Passat Trendline FWD,Volkswagen Passat,FWD,Black,494156,I,1VWAS7A36FC045402,AUTO,13900
2015,Volkswagen,Passat Comfortline FWD,Volkswagen Passat,FWD,Red,67164,I,1VWBS7A33FC046270,AUTO,16200
2016,BMW,3 Series 328i xDrive AWD,BMW 3,AWD,Blue,27265,I,WBA8E3G50GNT75551,AUTO,25995
2016,BMW,3 Series 320i xDrive AWD,BMW 3,AWD,black,40536,I,WBA8A3C52GK689785,AUTO,21900
2016,BMW,3 Series 320i xDrive AWD,BMW 3,AWD,Black,53228,I,WBA8E5G59GNU20627,AUTO,21700
2016,BMW,X3 xDrive28i AWD,BMW X3,AWD,White,55898,I,5UXWX9C5XG0D87802,AUTO,28900
2016,Buick,Regal Premium II FWD,Buick Regal,FWD,White,79709,I,2G4GS5GX5G9118291,AUTO,19300
2016,Buick,Verano Convenience 1 FWD,Buick Verano,FWD,Black,78975,I,1G4PP5SK4G4144302,AUTO,13995
2016,Cadillac,SRX Luxury FWD,Cadillac SRX,FWD,Silver,54582,I,3GYFNBE39GS541765,AUTO,19995
2016,Chevrolet,Cruze LT FWD,Chevrolet Cruze,FWD,White,72134,I,3G1BE5SM0GS598254,AUTO,14900
2016,Chevrolet,Cruze Premier FWD,Chevrolet Cruze,FWD,Silver,73230,I,3G1BG5SM9GS606670,AUTO,15300
2016,Chevrolet,Equinox LS FWD,Chevrolet Equinox,FWD,Grey,68577,I,2GNALBEK6G6160961,AUTO,17300
2016,Chevrolet,Equinox LS FWD,Chevrolet Equinox,FWD,Beige,108565,I,2GNALBEK8G1123746,AUTO,14500
2016,Chevrolet,Traverse LS FWD,Chevrolet Traverse,FWD,SILVER,62558,I,1GNKRFED3GJ240524,AUTO,19700
2016,Chrysler,200 LX FWD,Chrysler 200,FWD,RED,84183,I,1C3CCCFB9GN114496,AUTO,13300
